Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
cortexode,280941,lh,pial,6.6621395891358555,0.4316019277993265,0.863203855598653,509,233556,cortexode_280941_CA_lh_pial_distanceMesh.vtk
cortexode,236130,lh,pial,4.823318848562362,0.4326784471322356,0.8653568942644712,1787,232468,cortexode_236130_CA_lh_pial_distanceMesh.vtk
cortexode,239944,lh,pial,7.539509641885144,0.42950006558523474,0.8590001311704695,1112,236681,cortexode_239944_CA_lh_pial_distanceMesh.vtk
cortexode,227432,lh,pial,6.5935229385617395,0.4541579551245763,0.9083159102491526,623,231786,cortexode_227432_CA_lh_pial_distanceMesh.vtk
cortexode,248339,lh,pial,3.6801979498408675,0.4500802900157318,0.9001605800314636,715,238970,cortexode_248339_CA_lh_pial_distanceMesh.vtk
cortexode,214625,lh,pial,3.986171092505278,0.4318173261160988,0.8636346522321976,769,237286,cortexode_214625_CA_lh_pial_distanceMesh.vtk
cortexode,211114,lh,pial,5.278740467488416,0.44767003297345354,0.8953400659469071,2117,238636,cortexode_211114_CA_lh_pial_distanceMesh.vtk
cortexode,257542,lh,pial,6.836459666313453,0.4397301564472693,0.8794603128945386,2858,237598,cortexode_257542_CA_lh_pial_distanceMesh.vtk
cortexode,220721,lh,pial,4.487851760263136,0.43673560486359236,0.8734712097271847,442,244603,cortexode_220721_CA_lh_pial_distanceMesh.vtk
cortexode,214726,lh,pial,6.655278875705503,0.4756464181005031,0.9512928362010062,574,245999,cortexode_214726_CA_lh_pial_distanceMesh.vtk
cortexode,257845,lh,pial,5.703920116917966,0.44310848268399494,0.8862169653679899,639,244311,cortexode_257845_CA_lh_pial_distanceMesh.vtk
cortexode,214524,lh,pial,5.808598111915145,0.4449990165280456,0.8899980330560912,450,244838,cortexode_214524_CA_lh_pial_distanceMesh.vtk
cortexode,298455,lh,pial,4.647071525327377,0.4415166727285148,0.8830333454570296,337,243087,cortexode_298455_CA_lh_pial_distanceMesh.vtk
cortexode,212823,lh,pial,5.069305485545437,0.44770868239031114,0.8954173647806223,1236,247224,cortexode_212823_CA_lh_pial_distanceMesh.vtk
cortexode,263436,lh,pial,4.160342965460915,0.4237172043910691,0.8474344087821382,836,241654,cortexode_263436_CA_lh_pial_distanceMesh.vtk
cortexode,209935,lh,pial,4.024299911810818,0.45495888551457253,0.9099177710291451,823,250382,cortexode_209935_CA_lh_pial_distanceMesh.vtk
