Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path
pialnn,211922,lh,pial,4.339401775074456,0.5185664018398448,1.0371328036796896,31025,248255,pialnn_211922_CA_lh_pial_distanceMesh.vtk
pialnn,249947,lh,pial,3.8594090138394153,0.5892261586990064,1.1784523173980128,39869,241248,pialnn_249947_CA_lh_pial_distanceMesh.vtk
pialnn,256540,lh,pial,3.8914816896105777,0.535509110450443,1.071018220900886,37738,241226,pialnn_256540_CA_lh_pial_distanceMesh.vtk
pialnn,211417,lh,pial,4.091386977297362,0.5194274803770662,1.0388549607541324,36592,251676,pialnn_211417_CA_lh_pial_distanceMesh.vtk
pialnn,200614,lh,pial,6.058502472974893,0.5708924188539267,1.1417848377078534,33017,250862,pialnn_200614_CA_lh_pial_distanceMesh.vtk
pialnn,217126,lh,pial,3.688534621677679,0.5422123205817806,1.0844246411635612,41928,250434,pialnn_217126_CA_lh_pial_distanceMesh.vtk
pialnn,227432,lh,pial,5.082630704836289,0.5355454694994131,1.0710909389988261,32580,253135,pialnn_227432_CA_lh_pial_distanceMesh.vtk
pialnn,236130,lh,pial,4.634774293122715,0.52396874884858,1.04793749769716,30945,253801,pialnn_236130_CA_lh_pial_distanceMesh.vtk
pialnn,268850,lh,pial,3.473229410746448,0.5345365102354118,1.0690730204708236,32920,253957,pialnn_268850_CA_lh_pial_distanceMesh.vtk
pialnn,208125,lh,pial,3.41608698305299,0.5159951517680281,1.0319903035360563,33610,260290,pialnn_208125_CA_lh_pial_distanceMesh.vtk
pialnn,212419,lh,pial,3.519525663317042,0.5191885354669125,1.038377070933825,32812,250872,pialnn_212419_CA_lh_pial_distanceMesh.vtk
pialnn,209228,lh,pial,4.15977966722569,0.5293071333289305,1.058614266657861,33516,257675,pialnn_209228_CA_lh_pial_distanceMesh.vtk
pialnn,257542,lh,pial,4.077283618880639,0.537551244556246,1.075102489112492,37366,256629,pialnn_257542_CA_lh_pial_distanceMesh.vtk
pialnn,214726,lh,pial,6.440153086921688,0.5996500760927248,1.1993001521854496,24253,261011,pialnn_214726_CA_lh_pial_distanceMesh.vtk
pialnn,211114,lh,pial,4.0235612508011025,0.5370623009253619,1.0741246018507238,43805,261240,pialnn_211114_CA_lh_pial_distanceMesh.vtk
pialnn,202719,lh,pial,3.919467563438694,0.5310234632710737,1.0620469265421475,33804,263562,pialnn_202719_CA_lh_pial_distanceMesh.vtk
pialnn,284646,lh,pial,5.374043445437443,0.5414788714090988,1.0829577428181976,40870,257225,pialnn_284646_CA_lh_pial_distanceMesh.vtk
pialnn,205826,lh,pial,6.480116881066065,0.5534851372817065,1.106970274563413,37980,263583,pialnn_205826_CA_lh_pial_distanceMesh.vtk
pialnn,204016,lh,pial,3.7406994831764684,0.530697559983464,1.061395119966928,35488,263960,pialnn_204016_CA_lh_pial_distanceMesh.vtk
pialnn,209935,lh,pial,4.339723659086113,0.5658516073890582,1.1317032147781163,27967,268154,pialnn_209935_CA_lh_pial_distanceMesh.vtk
pialnn,210617,lh,pial,3.5966909631278843,0.5481789355150497,1.0963578710300994,34363,264065,pialnn_210617_CA_lh_pial_distanceMesh.vtk
pialnn,201111,lh,pial,4.053926168774898,0.5382593246509954,1.0765186493019907,30964,263846,pialnn_201111_CA_lh_pial_distanceMesh.vtk
pialnn,204622,lh,pial,3.8099364325361664,0.523915548549704,1.047831097099408,32915,268241,pialnn_204622_CA_lh_pial_distanceMesh.vtk
pialnn,280941,lh,pial,4.9430677972284105,0.5255597777392913,1.0511195554785826,38186,258225,pialnn_280941_CA_lh_pial_distanceMesh.vtk
pialnn,283543,lh,pial,4.892344173489746,0.5376104638526407,1.0752209277052813,30142,262558,pialnn_283543_CA_lh_pial_distanceMesh.vtk
pialnn,239944,lh,pial,7.976753820795735,0.5294600462282508,1.0589200924565016,37517,261163,pialnn_239944_CA_lh_pial_distanceMesh.vtk
pialnn,298455,lh,pial,3.6223716765916394,0.5290869844499501,1.0581739688999001,33970,266714,pialnn_298455_CA_lh_pial_distanceMesh.vtk
pialnn,201515,lh,pial,3.507282963936237,0.5761926701718689,1.1523853403437379,27384,272576,pialnn_201515_CA_lh_pial_distanceMesh.vtk
pialnn,200917,lh,pial,4.594571597083582,0.5460950480889114,1.0921900961778228,47639,263300,pialnn_200917_CA_lh_pial_distanceMesh.vtk
pialnn,202113,lh,pial,3.3253825183299313,0.5346761102757381,1.0693522205514763,37943,271833,pialnn_202113_CA_lh_pial_distanceMesh.vtk
pialnn,214625,lh,pial,4.627640970052386,0.5164175297989373,1.0328350595978746,34526,261971,pialnn_214625_CA_lh_pial_distanceMesh.vtk
pialnn,220721,lh,pial,4.733620380988449,0.5338467214688882,1.0676934429377765,33636,268728,pialnn_220721_CA_lh_pial_distanceMesh.vtk
pialnn,248339,lh,pial,3.531295525117848,0.5743081519858882,1.1486163039717765,35729,266898,pialnn_248339_CA_lh_pial_distanceMesh.vtk
pialnn,203923,lh,pial,4.5588168545641965,0.5428466289590684,1.0856932579181369,42710,273912,pialnn_203923_CA_lh_pial_distanceMesh.vtk
pialnn,214524,lh,pial,4.607559665739524,0.5427268191552341,1.0854536383104683,26240,266120,pialnn_214524_CA_lh_pial_distanceMesh.vtk
pialnn,257845,lh,pial,4.1065030283917405,0.5437734416646536,1.0875468833293072,35005,270616,pialnn_257845_CA_lh_pial_distanceMesh.vtk
pialnn,212015,lh,pial,4.684401731757612,0.5631814506682675,1.126362901336535,38166,276903,pialnn_212015_CA_lh_pial_distanceMesh.vtk
pialnn,212823,lh,pial,3.9472735242463295,0.5434314868273423,1.0868629736546846,37848,268275,pialnn_212823_CA_lh_pial_distanceMesh.vtk
pialnn,263436,lh,pial,4.782653068028295,0.5240037775863549,1.0480075551727097,42077,269979,pialnn_263436_CA_lh_pial_distanceMesh.vtk
pialnn,205119,lh,pial,5.174281371395073,0.5713372214056918,1.1426744428113835,39272,279950,pialnn_205119_CA_lh_pial_distanceMesh.vtk
pialnn,206222,lh,pial,4.757775703360897,0.5439203920465341,1.0878407840930682,37645,277998,pialnn_206222_CA_lh_pial_distanceMesh.vtk
pialnn,210011,lh,pial,4.026405127448584,0.5296574289794498,1.0593148579588996,38686,280684,pialnn_210011_CA_lh_pial_distanceMesh.vtk
pialnn,286650,lh,pial,4.07498528509418,0.5558138637728265,1.111627727545653,28879,275877,pialnn_286650_CA_lh_pial_distanceMesh.vtk
pialnn,287248,lh,pial,3.9851197498623723,0.5233557049853745,1.046711409970749,37951,275194,pialnn_287248_CA_lh_pial_distanceMesh.vtk
pialnn,213421,lh,pial,4.168282650372433,0.5160000804198479,1.0320001608396958,37422,273834,pialnn_213421_CA_lh_pial_distanceMesh.vtk
pialnn,290136,lh,pial,3.8311263435645886,0.5558921234022682,1.1117842468045365,41995,273834,pialnn_290136_CA_lh_pial_distanceMesh.vtk
pialnn,285446,lh,pial,4.102827549117015,0.5416195096902131,1.0832390193804262,40418,276445,pialnn_285446_CA_lh_pial_distanceMesh.vtk
pialnn,201717,lh,pial,4.010017246715834,0.529184556009699,1.058369112019398,46216,284398,pialnn_201717_CA_lh_pial_distanceMesh.vtk
pialnn,299154,lh,pial,12.749024756444179,0.549386544789138,1.098773089578276,35215,283213,pialnn_299154_CA_lh_pial_distanceMesh.vtk
pialnn,233326,lh,pial,4.593324308634264,0.5420608730921648,1.0841217461843295,31591,281169,pialnn_233326_CA_lh_pial_distanceMesh.vtk
pialnn,204319,lh,pial,5.453781748047909,0.5228025141048127,1.0456050282096254,37347,285168,pialnn_204319_CA_lh_pial_distanceMesh.vtk
pialnn,251833,lh,pial,4.58412315671092,0.5476889937773999,1.0953779875547998,36620,287198,pialnn_251833_CA_lh_pial_distanceMesh.vtk
pialnn,207628,lh,pial,4.195777679062847,0.5436184335608554,1.0872368671217107,55438,294231,pialnn_207628_CA_lh_pial_distanceMesh.vtk
pialnn,298051,lh,pial,4.253586953511061,0.5159918470491703,1.0319836940983407,41308,287176,pialnn_298051_CA_lh_pial_distanceMesh.vtk
pialnn,211215,lh,pial,3.4423307600401976,0.5252966249036086,1.0505932498072172,38777,301479,pialnn_211215_CA_lh_pial_distanceMesh.vtk
pialnn,207123,lh,pial,4.535739457971678,0.5298120417018142,1.0596240834036283,39522,301390,pialnn_207123_CA_lh_pial_distanceMesh.vtk
pialnn,211720,lh,pial,5.520349438304165,0.5572218142900851,1.1144436285801702,42249,301391,pialnn_211720_CA_lh_pial_distanceMesh.vtk
pialnn,268749,lh,pial,4.077709300489661,0.5307021531868206,1.0614043063736411,51404,303840,pialnn_268749_CA_lh_pial_distanceMesh.vtk
pialnn,208327,lh,pial,3.9994503449114243,0.5271408383413612,1.0542816766827223,40308,313191,pialnn_208327_CA_lh_pial_distanceMesh.vtk
pialnn,214423,lh,pial,3.9662888703846786,0.5262252498026928,1.0524504996053856,46568,321462,pialnn_214423_CA_lh_pial_distanceMesh.vtk
